book_title,book_brand,book_price
The Hobbit,Hodder And Stoughton Ltd.,15.29
The Book of Life,Simon + Schuster Inc.,12.89
"Score, L: Things We Left Behind",Bloomsbury UK,13.99
Billy Summers,Harper Collins,32.39
Harry Potter 5 and the Order of the Phoenix,Harper Collins,28.79
"The Return of the King. The Lord of the Rings, Part 3","Little, Brown Book Group",14.09
The Silmarillion,Seven Seas,14.09
The Old Man and the Sea,Pan Macmillan,12.89
"Huang, A: King of Greed","Little, Brown Book Group",13.99
Thousand Autumns: Qian Qiu (Novel) Vol. 1,"Little, Brown Book Group",25.89
Before the Coffee Gets Cold,Penguin Books Ltd (UK),16.49
Bridgerton: The Viscount Who Loved Me. TV Tie-In,Orion Publishing Group,15.29
"Hazelwood, A: Check & Mate",Penguin Books Ltd (UK),13.99
"Cole, T: Wish For Us",Pan Macmillan,12.89
"Sanderson, B: Lost Metal",Harper Collins Publ. USA,16.19
The Gift of the Magi,Penguin LLC  US,15.29
"Kawaguchi, T: Before Your Memory Fades","Little, Brown Book Group",13.99
"Kuang, R: Babel",Penguin Books Ltd (UK),13.99
"Diaz, H: Trust",Quercus Publishing Plc,14.59
"Robotham, M: Lying Beside You",Hodder And Stoughton Ltd.,14.59
The Butcher and the Wren,Hodder And Stoughton Ltd.,14.59
The Daughter of Doctor Moreau,Hodder And Stoughton Ltd.,13.99
"Score, L: Forever Never",Hodder And Stoughton Ltd.,14.59
"Score, L: Pretend You're Mine",Random House UK Ltd,14.59
"Score, L: Finally Mine",Hodder And Stoughton Ltd.,14.59
Foul Lady Fortune,"Little, Brown Book Group",14.59
"Tomorrow, and Tomorrow, and Tomorrow",Simon + Schuster UK,14.59
The Ballad of Never After,"Little, Brown Book Group",13.99
Too Late,Hodder And Stoughton Ltd.,14.59
I Fell in Love with Hope,Faber And Faber Ltd.,14.59
Love Theoretically,Penguin LLC  US,13.99
Fairy Tale,"Little, Brown Book Group",14.59
You Made a Fool of Death With Your Beauty,Harper Collins Publ. USA,12.89
"Batuman, E: Either/Or","Little, Brown Book Group",15.09
The True Love Experiment,Bloomsbury UK,13.99
"Kuang, R: Yellowface",Penguin LCC US,17.39
The Housemaid,Harper Collins Publ. UK,14.59
House of Earth and Blood,"Little, Brown Book Group",15.29
Happy Place,Penguin Books Ltd (UK),19.59
The Change,"Little, Brown Book Group",12.89
Flawless,Pan Macmillan,14.59
Four Treasures of the Sky,Harper Collins Publ. UK,14.59
Shadow's Edge,Penguin Books Ltd (UK),16.19
Our Wives Under The Sea,Transworld Publ. Ltd UK,15.29
The Adventures of Amina Al-Sirafi,Bloomsbury UK,21.39
White Nights,Bloomsbury UK,15.29
Listen To Me,Bloomsbury UK,13.99
The Assassin's Blade,Bloomsbury UK,14.09
Empire of Storms,Bloomsbury UK,15.29
Heir of Fire,Bloomsbury UK,15.29
Crown of Midnight,Bloomsbury UK,15.29
Kingdom of Ash,Pan Macmillan,15.29
Tower of Dawn,"Little, Brown Book Group",15.29
Throne of Glass,Penguin Books Ltd (UK),14.09
Under the Whispering Door,Orion Publishing Co,16.49
Final Offer,Orion Publishing Group,15.29
Glow,"Little, Brown Book Group",16.49
Hell Bent,Orion Publishing Group,35.69
Hell Bent,Hodder And Stoughton Ltd.,23.89
Olga Dies Dreaming,"Sourcebooks, Inc",15.29
The Lost Metal,Macmillan USA,26.29
Our Violent Ends,Pan Macmillan,14.09
Saint,Harper Collins Publ. USA,12.89
Legends & Lattes,Random House UK Ltd,25.09
Flock,Penguin Random House Children's UK,14.09
Demon Copperhead,Penguin Books Ltd (UK),25.09
My Policeman. Tie-In,Penguin Books Ltd (UK),14.09
The Amazing Maurice and his Educated Rodents,Harper Collins Publ. UK,14.79
A Not So Meet Cute,Harper Collins Publ. UK,15.29
The Bullet That Missed,Harper Collins Publ. UK,23.89
The Lord of the Rings Boxed Set,Headline,46.49
Babel,Random House UK Ltd,23.89
Babel,Penguin LCC US,27.39
From Lukov with Love,Hodder And Stoughton Ltd.,16.49
Lore Olympus: Volume Two,Quercus Publishing Plc,23.89
Where the Crawdads Sing  (Movie Tie-In),Hodder And Stoughton Ltd.,14.69
Billy Summers,Random House UK Ltd,15.29
Seven Days in June,Penguin Books Ltd (UK),15.29
Gwendy's Final Task,"Little, Brown Book Group",23.89
The Last Graduate,Penguin LCC US,16.49
Book Lovers,Harper Collins Publ. USA,15.29
Twisted Hate,"Little, Brown Book Group",16.49
Book Lovers,Pan Macmillan,15.29
Remarkably Bright Creatures,Penguin LCC US,27.49
Part of Your World,Random House UK Ltd,15.89
"Red, White & Royal Blue","Little, Brown Book Group",15.29
Time Is a Mother,Simon + Schuster UK,22.69
The Match,Harper Collins Publ. UK,21.39
Verity,Orion Publishing Group,15.29
One True Loves,Harper Collins Publ. UK,15.29
A Sky Beyond The Storm,Pan Macmillan,14.69
The Tower of Fools,St. Martin's Griffin,16.49
The Silent Wife,Pan Macmillan,11.59
Tales from the Cafe,Penguin Books Ltd (UK),16.49
"Red, White & Royal Blue",Head of Zeus Ltd.,21.99
The Seven Sisters 6. The Sun Sister,"Little, Brown and Company",27.49
Little Women,Orion Publishing Group,12.89
The Three-Body Problem 3. Death's End,Simon + Schuster Inc.,17.79
The Fifth Season,Harper Collins Publ. UK,15.29
Words of Radiance Part Two,Penguin Books Ltd (UK),17.09
Maybe Someday,Hodder And Stoughton Ltd.,23.89
Death on the Nile,Random House LCC US,13.49
Sense and Sensibility,"Little, Brown Book Group",12.19
The Shining,"Little, Brown Book Group",16.19
Norwegian Wood,Harper Collins,11.79
The Novice,Orion Publishing Group,16.49
The High Lord,Random House LCC US,16.49
The Children of Hurin,Blue Box Press,13.39
The Great Dune Trilogy,Stone Bridge Press,35.89
The Stranger,Harper,21.39
From Blood and Ash,Short Books Ltd,34.49
Shameful Life,Hodder,19.29
Tom Lake,Hodder And Stoughton Ltd.,38.79
The Name of the Wind,Hodder And Stoughton Ltd.,15.89
The Leopard,Orion Publishing Group,12.89
Reminders of Him,Random House LLC US,26.09
Finders Keepers,Pan Macmillan,12.89
The Ballad of Never After,Simon + Schuster Inc.,23.89
Elevation,One Peace Books,23.29
The Lady of the Lake,"Little, Brown Book Group",12.59
"Fawcett, H: Emily Wilde's Encyclopaedia of Faeries 1",Hodder And Stoughton Ltd.,13.39
Children of Memory,Pan Macmillan,26.29
All Your Perfects,Simon + Schuster UK,18.89
Schoolgirl,Random House LCC US,19.09
IRON FLAME. The Thrilling Sequel To The Number One Global Bestselling Phenomenon FOURTH WING,Penguin LCC US,29.99
Sparring Partners,Random House UK Ltd,32.39
The House in the Cerulean Sea,"Little, Brown and Company",16.49
The It Girl,Granta Books,21.39
Malibu Rising,Harper Collins,17.79
The Love Hypothesis,Hodder,22.69
On Earth We're Briefly Gorgeous,Macmillan USA,16.49
The Dry,Random House,15.29
Convenience Store Woman,Faber & Faber,15.29
A Knight of the Seven Kingdoms,Cornerstone Book Publishers,15.89
Misery,Harper Collins,15.89
Vicious,Pan Macmillan,26.29
Factotum,Harper Collins Publ. USA,15.69
A Pale View of Hills,Bloomsbury UK,15.89
Assassin's Apprentice,Harper Collins Publ. UK,15.29
Assassin's Quest,Atlantic Books,17.09
The 6:20 Man,Penguin Books,20.19
Portrait of an Unknown Woman,"Little, Brown and Company",25.09
The Song of Achilles. Anniversary Edition,Harper Collins,32.39
The Fall of Gondolin,"Little, Brown and Company",38.59
The Kiss Quotient,Rock Publishing Company,14.69
On the Road,Cornerstone Book Publishers,15.29
The Underground Railroad,Profile Books,14.09
Seveneves,Penguin Books Ltd (UK),15.89
Royal Assassin,Penguin LCC US,17.09
Darktown,Random House LCC US,15.29
The Cinder Spires: The Aeronaut's Windlass,Orion Publishing Group,12.89
New York,"Little, Brown Book Group",18.49
The Last Thing He Told Me,Simon + Schuster Inc.,15.29
"Again, Rachel",Random House LCC US,23.89
A Column of Fire,Transworld Publ. Ltd UK,15.29
Rich People Problems,Random House LCC US,15.29
Sharp Objects,Random House LCC US,15.89
Less,Penguin Books Ltd (UK),16.49
The Outsider,Hodder And Stoughton Ltd.,42.19
Small Great Things,MONTLAKE ROMANCE,11.59
The Couple Next Door,TURNAROUND PUBLISHER SERVICES,12.89
China Rich Girlfriend,"Little, Brown Book Group",14.09
Crazy Rich Asians,Simon + Schuster Inc.,14.09
Animal Farm,Random House LCC US,12.89
Wish You Were Here,Harper Collins Publ. USA,23.89
Regretting You,Bloomsbury UK,20.99
Where The Crawdads Sing,Simon + Schuster Inc.,28.19
Say You're Sorry,Harper Collins Publ. USA,15.29
If It Bleeds,Pan Macmillan,28.59
The Guardians,Hodder And Stoughton Ltd.,42.19
The Art of Racing in the Rain. Movie Tie-in Edition,Transworld Publ. Ltd UK,13.49
Circe,Penguin Books Ltd (UK),11.59
The Island of Sea Women,Macmillan USA,25.09
Devil's Daughter,Norton & Company,10.99
The Cast,Hachette Book Group USA,10.59
The Cactus,Random House UK Ltd,16.49
Surprise Me,Harper Collins Publ. USA,11.59
The Ministry of Utmost Happiness,Penguin Books Ltd (UK),16.49
Glass Houses,Harper Collins Publ. USA,15.29
The Overstory,Simon + Schuster Inc.,36.59
Pachinko,Penguin Books Ltd (UK),26.29
A Gentleman in Moscow,Penguin Books Ltd (UK),16.49
The Alice Network,Pan Macmillan,23.29
The Course of Love,Penguin Books Ltd (UK),15.29
The Hating Game,Harper Collins Publ. UK,21.99
It Ends with Us,Penguin LCC US,23.89
After You,Penguin Books Ltd (UK),15.89
After You,Penguin Books Ltd (UK),12.89
Uprooted,Macmillan USA,16.49
The Architect's Apprentice,Harper Collins Publ. USA,15.29
Americanah,Penguin LCC US,12.89
A Discovery of Witches,Penguin Books Ltd (UK),14.09
What Alice Forgot,Random House LCC US,15.29
Alice's Adventures in Wonderland,Macmillan USA,25.69
Sophie's World,"Little, Brown Book Group",25.09
The Rose Code,Penguin Books Ltd (UK),24.49
The Evening and the Morning,Bloomsbury UK,36.09
Transcendent Kingdom,Hodder And Stoughton Ltd.,21.39
The Winter of the Witch,"Little, Brown Book Group",32.49
OATHBRINGER,"Little, Brown Book Group",36.09
Provenance,Hodder And Stoughton Ltd.,15.29
To the Lighthouse,Pan Macmillan,12.19
"Sing, Unburied, Sing",Penguin LCC US,16.49
Strange the Dreamer,Penguin Books Ltd (UK),12.89
New York 2140,Harper Collins Publ. UK,16.49
The Chemist,Penguin Books Ltd (UK),14.69
Holding,Penguin LCC US,14.69
The Collapsing Empire,Hodder And Stoughton Ltd.,15.29
Everything I Never Told You,Random House UK Ltd,16.49
The Gaze,Penguin Books Ltd (UK),15.29
Bird Box,Random House UK Ltd,16.49
Robinson Crusoe,Random House UK Ltd,11.19
Little Women. Classics Deluxe Edition,Penguin LCC US,22.69
Cell,Pan Macmillan,16.19
What We Talk About When We Talk About Love,Random House UK Ltd,15.89
Breakfast at Tiffany's,Faber And Faber Ltd.,13.49
Slaughterhouse-Five Or The Children's Crusade,Random House LCC US,15.29
Breakfast of Champions,Macmillan USA,15.89
The Paper Palace,Canongate Books Ltd.,22.69
Shuggie Bain,Orion Publishing Group,16.49
First Person Singular,Penguin Books Ltd (UK),27.49
Klara and the Sun,Penguin Books Ltd (UK),32.39
Interior Chinatown,Random House UK Ltd,22.69
Ninth House,Transworld Publ. Ltd UK,12.89
The Shadow King,Penguin Books Ltd (UK),15.29
Exciting Times,Random House UK Ltd,22.69
Police,Random House UK Ltd,11.79
"Girl, Woman, Other",Alma Books Ltd.,16.49
"Doyle, A: Adventure of the Blue Carbuncle",Hodder And Stoughton Ltd.,14.59
"Sarr, M: Most Secret Memory of Men",Hachette Book Group USA,21.29
"Hays, K: Cloisters",Harper Collins Publ. USA,12.89
"Watt, E: Twisted Palace",Penguin Books Ltd (UK),13.99
"Patterson, J: House of Wolves",Oneworld Publications,12.89
"Kellerman, J: Unnatural History","Little, Brown Book Group",13.99
"Wharton, E: Ethan Frome",Penguin Books Ltd (UK),10.09
"Roth, V: Poster Girl",Random House LLC US,14.59
"Coben, H: I Will Find You",Random House LLC US,11.19
"Alam, R: Leave the World Behind [Movie Tie-in]",Random House LLC US,21.89
"Soseki, N: Botchan",Macmillan USA,13.99
"Wilkerson Sexton, M: On the Rooftop",Orion Publishing Co,14.59
"Jemisin, N: World We Make","Little, Brown Book Group",13.99
"Tudor, C: Drift",Pan Macmillan,12.89
"Sage, L: Done and Dusted",Random House LLC US,14.59
"Ellis, B: Shards",Macmillan USA,15.09
"Steel, D: Without a Trace","Little, Brown Book Group",12.89
"Blake, O: Alone with You in the Ether",Penguin Books Ltd (UK),15.09
"Kova, E: A Deal With The Elf King",Penguin Books Ltd (UK),18.19
"Tuli, N: Rule of the Aurora King",Random House UK Ltd,18.19
"Baldacci, D: Simply Lies",Random House UK Ltd,9.49
"Saunders, G: Liberation Day",Random House UK Ltd,15.09
"Sanderson, B: Lost Metal",Random House UK Ltd,28.59
"Zevin, G: Young Jane Young",Harper Collins Publ. USA,14.59
"Ambler, E: Mask of Dimitrios",Headline,13.99
"Tey, J: Brat Farrar",Headline,13.99
"Welsh, I: Trainspotting",Headline,24.09
"Calvino, I: If on a Winter's Night a Traveller",Random House UK Ltd,24.09
"Heller, J: Catch-22",Penguin Books Ltd (UK),26.89
"Rushdie, S: Midnight's Children",Hodder And Stoughton Ltd.,26.89
"Gray, A: Poor Things/Tie-In",Penguin LLC  US,21.89
"Reilly, G: Stealing Home",Random House LLC US,14.59
"Reilly, G: Breakaway",Harper Collins Publ. USA,14.59
"Reilly, G: First Down",Macmillan USA,14.59
"Patterson, J: 23rd Midnight","Little, Brown Book Group",12.89
"Maden, M: Clive Cussler's Hellburner",Titan Publ. Group Ltd.,12.89
"Maniscalco, K: Kingdom of the Feared",Harper Collins Publ. USA,14.59
"Douglas, P: Birthday Girl",Meredith Wild LLC,20.19
"McCarthy, C: Stella Maris",Harper Collins Publ. UK,15.09
"Clark, E: Penance",Harper Collins Publ. UK,34.69
"Yarros, R: Eyes Turned Skyward",Orion Publishing Group,20.19
"Parikh, A: Circus Train",Penguin Books Ltd (UK),14.59
"Larocca, E: Things Have Gotten Worse Since We Last Spoke",Penguin Books Ltd (UK),14.59
"Hunter, C: Murder in the Family",Transworld Publ. Ltd UK,22.99
"Smeltzer, M: The Confidence of Wildflowers",Penguin Books Ltd (UK),37.39
"Tolkien, J: Hobbit/Illustr. Deluxe Ed.",Head of Zeus Ltd.,175.39
"Tolkien, J: Hobbit/Illustrated Ed.","Little, Brown Book Group",63.29
"Nix, G: Sinister Booksellers of Bath",Random House LLC US,14.59
"Strout, E: Lucy by the Sea",Macmillan USA,13.99
"Osman, R: Last Devil To Die",Alma Books Ltd.,30.79
"Newman, C: We All Want Impossible Things",Random House UK Ltd,12.89
"Hurwitz, G: Last Orphan",Penguin Books Ltd (UK),12.89
"Riddle, A: Lost in Time",Random House UK Ltd,13.99
"Thorne, S: Angelika Frankenstein Makes Her Match",Random House UK Ltd,14.59
"Strout, E: Lucy by the Sea",Random House UK Ltd,14.59
"Muir, T: Nona the Ninth",Penguin Books Ltd (UK),24.09
"Lawrence, D: Women in Love",Random House UK Ltd,11.79
"Faulkner, W: Light in August",Harper Collins Publ. USA,14.59
"Nabokov, V: Lolita",Penguin LLC  US,24.09
"Morrison, T: Love",HARPERLUXE,14.59
"Palahniuk, C: Fight Club",Harper Collins Publ. UK,14.59
"Whitehead, C: Zone One",Random House UK Ltd,14.59
"Stevenson, R: Dr Jekyll and Mr Hyde",Harper Collins Publ. UK,24.09
"Cline, E: Girls",Harper Collins Publ. UK,14.59
"Simon, N: Mother-Daughter Murder Night",Harper Collins Publ. USA,34.19
"Ritchie, K: Addicted After All",Penguin LLC  US,20.19
AFTER THAT NIGHT -LP,Harper Collins Publ. USA,51.09
"Tan, S: Heart of the Sun Warrior",Harper Collins Publ. USA,13.99
"Patterson, J: Perfect Assassin",Clarissa Wild,12.89
"Christie, A: Hallowe'en Party",Penguin Books Ltd (UK),21.29
"Irwin, S: Lady's Guide to Fortune-Hunting",Random House UK Ltd,12.89
"Tan, S: Heart of the Sun Warrior",Random House UK Ltd,13.99
"Ng, C: Our Missing Hearts",Quercus Publishing Plc,13.99
"Slaughter, K: After That Night",Random House UK Ltd,20.69
"Bailey, T: Chase Me",Random House UK Ltd,21.89
"Wild, C: Sick Boys",Bloomsbury UK,50.59
"James, S: Book of Cold Cases",HarperCollins Publishers,13.99
"Tucker, K: Wild at Heart",Harper Collins Publ. UK,14.59
"Tucker, K: Forever Wild",Macmillan USA,12.89
"Lemming, K: That Time I Got Drunk and Saved a Demon",Quercus Publishing Plc,14.59
"Tucker, K: Simple Wild",Pushkin Press,12.89
"Kelly, M: Golden Doves",Pan Macmillan,14.59
"Lalami, L: Moor's Account",Random House UK Ltd,14.59
"Asimov, I: Forward the Foundation",Random House UK Ltd,18.19
"Mann, M: Heat 2",Random House UK Ltd,13.99
"Black, H: Book of Night",Harper Collins Publ. UK,23.49
"Young, A: Spells for Forgetting",Quercus Publishing Plc,13.99
"Szerb, A: Journey by Moonlight",Harper Collins Publ. USA,14.59
"Borison, B: Mixed Signals",Harper Collins Publ. USA,12.89
"Murakami, H: Wild Sheep Chase",Penguin LLC  US,28.59
"Murakami, H: After Dark",Pan Macmillan,28.59
"Murakami, H: Sputnik Sweetheart",Macmillan USA,28.59
"Dean, S: Book Eaters",Random House LCC US,13.99
"Griffiths, E: Last Remains",Alma Books Ltd.,13.99
"Patchett, A: Tom Lake",Random House LLC US,20.69
"Medoff, J: When We Were Bright and Beautiful",Canongate Books Ltd.,21.89
"Ritchie, K: Thrive",Penguin Books Ltd,19.59
Abandon,Orion Publishing Group,21.89
"Jordan, R: Great Hunt",Bloomsbury UK,13.39
"Steel, D: High Notes",Pan Macmillan,12.89
Main Street,Transworld Publ. Ltd UK,11.79
"Brown, P: Light Bringer",Penguin Books Ltd (UK),35.29
The Humans,Blue Box Press,14.59
"Audrain, A: The Whispers",Hodder And Stoughton Ltd.,25.19
"Clarke, A: Rendezvous With Rama",Hodder And Stoughton Ltd.,14.59
"Van Pelt, S: Remarkably Bright Creatures",Penguin Books Ltd (UK),12.89
"Walsh, R: Love of My Life",Harper Collins Publ. USA,12.89
"Boyne, J: All The Broken Places",Penguin LCC US,12.89
The Good Left Undone,Simon + Schuster Inc.,12.89
"Armentrout, J: Soul of Ash and Blood",Macmillan USA,44.49
"Score, L: By a Thread",MINOTAUR,14.59
"Score, L: Worst Best Man",Transworld Publ. Ltd UK,14.59
In a Lonely Place,Harper Collins Publ. UK,14.59
"Eco, U: Foucault's Pendulum",Harper Collins Publ. UK,22.99
"Dixon, R: Barbarian's Mate",Harper Collins Publ. UK,20.19
"Evanovich, J: Going Rogue",Random House UK Ltd,21.29
A Conjuring of Light,Penguin Books Ltd (UK),22.39
"Castillo, L: EVIL HEART",Headline,40.59
"Hayder, M: Wolf",Simon + Schuster UK,12.89
"Perrotta, T: Tracy Flick Can't Win",Simon + Schuster UK,14.59
The Broken Elf King,Random House UK Ltd,12.89
"Stone, L: Last Dragon King",Harper Collins Publ. UK,12.89
"Yoshino, G: How Do You Live?","Little, Brown Book Group",15.69
The Collected Regrets of Clover,Random House LCC US,19.59
"O'Farrell, M: Marriage Portrait",Penguin LLC  US,13.99
Zero Days,Harper Collins Publ. USA,18.49
"See, L: Lady Tan's Circle Of Women",Harper Collins Publ. USA,18.49
"Flaubert, G: Madame Bovary",Harper Collins Publ. USA,14.59
The Seven Year Slip,Random House UK Ltd,12.89
Less is Lost,Transworld Publ. Ltd UK,13.99
"Zevin, G: Tomorrow, and Tomorrow, and Tomorrow",Pan Macmillan,15.09
"Borison, B: In the Weeds",Random House LLC US,13.39
The Wall of Winnipeg and Me,Hodder And Stoughton Ltd.,22.39
Days at the Morisaki Bookshop,RANDOM HOUSE LARGE PRINT,19.59
The Door-to-Door Bookstore,Macmillan USA,33.59
The Golden Enclaves,Penguin Books Ltd (UK),13.99
Norwegian by Night,Hodder And Stoughton Ltd.,14.59
"Follett, K: Evening and the Morning",Pan Macmillan,19.09
"Gunty, T: Rabbit Hutch",Harper Collins Publ. UK,14.59
The Dragon's Promise,Harper Collins Publ. UK,14.59
"Daverley, C: TALKING AT NIGHT -LP",Random House UK Ltd,44.09
A World of Curiosities,"Little, Brown Book Group",12.29
Thorne Princess,Transworld Publ. Ltd UK,14.59
The Five-Star Weekend,Simon + Schuster UK,21.89
The Roughest Draft,"Little, Brown Book Group",12.89
Dead Man's Folly,Pan Macmillan,21.89
"Christie, A: Five Little Pigs",Pan Macmillan,21.89
Lessons,Penguin LLC  US,12.89
The Ink Black Heart,Macmillan USA,13.99
The Retreat,GRIFFIN,12.89
The Winners,Orion Publishing Group,12.89
"Michallon, C: The Quiet Tenant",Random House UK Ltd,26.59
The Pillars of the Earth,Random House UK Ltd,19.09
World Without End,Penguin Books Ltd (UK),19.09
"Hazelwood, A: Love, Theoretically",Random House UK Ltd,33.09
A Gathering of Shadows,Penguin Books Ltd (UK),22.39
The Bodyguard,Oneworld Publications,25.19
"Brandy, M: Say You Swear",Head of Zeus Ltd.,14.59
The Song of the Marked,Head of Zeus Ltd.,15.69
A Twist of the Blade,Penguin LCC US,15.69
The Last White Man,Random House LCC US,14.59
Act of Oblivion,Penguin LLC  US,12.89
This Time Tomorrow,"Little, Brown Book Group",13.99
The Rabbit Hutch,"Little, Brown Book Group",13.99
"Fitzek, S: Inmate",Faber And Faber Ltd.,28.59
Walk Me Home,Pan Macmillan,14.59
"Audrain, A: Whispers",Macmillan USA,17.89
Carrie Soto Is Back,Penguin Books Ltd (UK),13.99
"Monaghan, A: Same Time Next Summer",Penguin Books Ltd (UK),20.19
Hidden Pictures,Penguin Books Ltd (UK),14.59
Horse,Random House UK Ltd,14.59
Fight Night,Faber And Faber Ltd.,12.89
Trust,Bloomsbury UK,13.99
The Mountain in the Sea,Random House UK Ltd,21.29
Bonjour Tristesse,Pan Macmillan,14.59
The Fall,Penguin Books Ltd (UK),14.59
Chess,Penguin Books Ltd (UK),14.59
Either/Or,Penguin Books Ltd (UK),13.99
Demon Copperhead,Penguin LCC US,13.99
Nightcrawling,Macmillan USA,12.89
Triple Cross,Harper Collins Publ. USA,11.79
Long Shadows,Random House UK Ltd,11.79
The Forty Rules of Love,Transworld Publ. Ltd UK,12.89
The Girls' Guide to Hunting and Fishing,Transworld Publ. Ltd UK,12.89
Mr Loverman,Transworld Publ. Ltd UK,12.89
Kiss the Sky,HarperCollins Publishers,20.19
A Darker Shade of Magic,Simon + Schuster UK,21.29
Yellowface,Penguin Books Ltd (UK),33.59
A Fate of Wrath and Flame,Headline,14.59
Life and Other Inconveniences,Pan Macmillan,10.09
Out of the Clear Blue Sky,Pan Macmillan,11.79
Good Luck with That,Random House LCC US,10.09
"Ngozi Adichie, C: Americanah",Headline,18.19
Oath of Loyalty,Headline,14.59
The Bullet That Missed,Pan Macmillan,13.99
Honey & Spice,Penguin Books Ltd (UK),12.89
Atlas: The Story of Pa Salt,Hodder And Stoughton Ltd.,31.39
Atlas: The Story of Pa Salt,Simon + Schuster UK,24.09
Practice Makes Perfect,"Little, Brown Book Group",13.99
The Wall of Winnipeg and Me,Simon + Schuster Inc.,16.19
All Rhodes Lead Here,Norton & Company,16.19
The Finish Line,Hodder And Stoughton Ltd.,12.89
Happy Place,Penguin Books Ltd (UK),21.29
Memphis,Pan Macmillan,14.59
The It Girl,Random House UK Ltd,12.89
"Lehane, D: Small Mercies",Random House LCC US,35.69
It Ends with Us: Special Collector's Edition,"Little, Brown Book Group",34.19
The Flowers of Evil,Macmillan USA,23.49
Portrait of a Thief,"Little, Brown Book Group",12.89
"Again, Rachel","Little, Brown Book Group",13.99
Young Mungo,Profile Books,13.99
"Patterson, J: Blowback",Pan Macmillan,11.79
Nightcrawling,Pan Macmillan,12.89
The Stranger in the Lifeboat,"Little, Brown Book Group",16.49
The Invisible Life of Addie LaRue,Orion Publishing Group,15.09
Yours Truly,MINDYS BOOK STUDIO,14.59
Powerless,MINDYS BOOK STUDIO,14.59
The Seven Moons of Maali Almeida,Transworld Publ. Ltd UK,16.49
Wayward,Transworld Publ. Ltd UK,15.29
Sea of Tranquility,Headline,13.99
The Hunger of the Gods,Macmillan USA,16.19
Tress of the Emerald Sea,Penguin LLC  US,25.69
"Thoman, L: ILL STOP THE WORLD",Simon + Schuster UK,25.19
"Thoman, L: ILL STOP THE WORLD",Pan Macmillan,42.69
"Thompson, A: Love in the Time of Serial Killers",Hachette Book Group USA,12.89
No Plan B,Titan Publ. Group Ltd.,12.89
Peach Blossom Spring,Hodder And Stoughton Ltd.,12.89
Legacy,Atria books,12.29
"Towles, A: Lincoln Highway",Penguin Books Ltd (UK),14.59
Gothikana: A Dark Academia Gothic Romance,Random House UK Ltd,15.29
The Rising Tide,Penguin Books Ltd (UK),15.29
I Will Find You,Transworld Publishers Ltd,22.69
